52,17,16,13,6,25
50,44,49,32,37,13
29,23,40,45,37,38
42,49,45,1,44,1
49,14,6,46,40,17
45,31,1,48,27,5
39,21,1,18,55,6
6,32,46,23,42,8
10,56,9,24,52,14
31,15,46,25,36,37
55,20,37,45,39,28
3,23,15,42,29,17
41,9,32,36,34,14
31,13,49,38,36,2
9,19,17,12,11,23
20,15,45,7,23,17
7,6,33,31,4,20
44,16,15,47,27,14
30,16,41,48,53,16
29,53,52,17,31,31
53,45,14,21,25,9
11,19,22,43,45,34
41,2,24,34,48,24
25,15,47,44,6,7
5,26,22,14,20,35
17,9,7,44,20,25
8,27,34,4,19,10
11,55,47,2,27,15
41,9,58,40,53,12
26,13,31,4,29,3
10,31,23,28,11,14
35,24,58,53,10,22
37,23,42,43,20,27
48,1,3,38,14,2
39,14,43,51,36,15
38,10,31,3,35,16
47,22,37,48,50,17
49,27,23,52,19,21
24,18,45,5,10,20
18,5,52,40,20,3
25,10,14,39,53,18
14,29,16,27,41,29
12,2,17,20,65,17
42,34,50,45,17,11
47,31,48,38,22,15
17,42,21,43,28,25
15,14,21,1,35,10
12,53,8,11,26,4
13,3,2,26,6,10
4,9,18,55,43,3
21,1,26,23,25,4
32,36,42,30,21,33
41,50,22,19,14,21
59,30,46,38,20,27
8,35,27,16,42,30
14,32,47,2,15,36
26,41,33,37,10,21
18,42,13,5,50,4
54,53,23,57,49,35
29,1,20,27,4,17
45,26,28,22,33,17
23,7,2,3,51,26
3,45,25,14,18,7
49,32,4,15,58,21
31,10,12,9,41,37
46,54,13,7,8,35
7,40,55,33,14,15
32,16,19,57,34,13
36,7,26,8,19,15
21,43,28,3,7,2
54,23,19,7,50,14
10,56,24,61,5,12
13,41,19,22,47,5
21,22,52,49,58,34
32,53,22,4,19,24
39,29,32,53,45,16
48,20,14,34,3,21
31,9,23,1,11,6
45,20,38,42,3,27
40,36,49,5,29,30
21,25,16,9,32,8
45,55,29,9,31,7
34,1,7,8,45,15
13,20,33,42,12,37
5,20,40,10,12,3
37,6,1,53,16,27
9,37,39,36,32,14
20,8,21,37,32,4
23,48,21,9,13,24
18,43,13,8,27,15
43,28,47,20,40,31
54,37,34,25,24,29
40,30,20,28,43,3
54,57,51,6,10,12
31,22,25,41,35,38
58,50,36,9,33,31
34,10,38,5,11,21
8,56,10,18,43,9
38,22,55,24,17,24
30,25,3,28,26,10
3,33,30,17,29,34
45,5,46,3,20,37
18,34,40,59,48,25
2,54,12,58,25,14
49,53,13,9,47,39
41,34,30,25,18,10
31,21,9,5,1,12
33,34,26,5,6,13
13,36,48,7,11,18
3,12,47,51,2,10
25,28,11,17,46,12
3,12,27,38,2,17
16,6,10,12,29,33
36,5,8,18,38,40
4,46,16,37,32,13
47,69,30,66,57,3
28,10,34,24,35,32
31,46,36,42,24,32
46,52,37,10,40,12
16,58,22,30,51,25
29,9,49,19,38,20
36,58,27,41,20,7
13,7,47,3,34,30
45,4,35,33,36,22
44,33,29,38,24,7
39,53,35,11,54,24
44,11,41,34,6,20
39,12,49,69,20,17
5,7,28,18,35,1
26,41,14,37,46,24
51,10,45,11,14,17
37,1,43,10,35,30
9,1,19,36,53,33
3,16,30,8,29,4
38,36,35,7,34,14
41,35,19,37,1,11
37,6,41,24,15,37
6,43,48,50,8,7
56,8,12,43,34,9
46,33,52,48,4,17
35,43,36,20,26,23
7,15,3,11,28,12
4,41,1,12,47,3
45,29,36,4,22,30
24,4,23,43,30,28
50,21,28,18,49,16
22,12,4,31,10,3
55,49,28,5,18,38
37,49,17,45,13,4
37,51,6,13,52,25
47,21,41,15,27,20
22,10,13,14,52,11
39,5,24,19,28,24
41,46,11,17,1,24
22,49,27,14,32,5
16,22,18,41,14,37
11,39,41,27,37,42
42,34,59,39,44,8
52,35,16,49,50,31
10,45,48,26,17,38
31,22,55,26,54,18
15,52,25,53,54,2
